HIGH_RISK_score,MONITORING_score,LOW_RISK_score,risk_level
0.7924334954213592,0.19925962197355093,0.008306882605089919,MONITORING
0.15105789986482646,0.7984113580531685,0.050530742082005066,MONITORING
0.2464756295337891,0.49922751055028997,0.25429685991592094,MONITORING
0.8924551441034765,0.08725701373525119,0.02028784216127235,HIGH_RISK
0.3485144328167529,0.5835960938900043,0.06788947329324277,MONITORING
0.7662999157137633,0.22000465289237361,0.013695431393863118,HIGH_RISK
0.1510572121162956,0.7984133955341395,0.05052939234956502,MONITORING
0.9454441648866442,0.0503964016284524,0.004159433484903366,HIGH_RISK
0.4917515907751605,0.5058679746544957,0.0023804345703438133,HIGH_RISK
0.5507242662375258,0.43282501289865344,0.016450720863820746,MONITORING
0.17328631054693996,0.4275364757825526,0.3991772136705074,MONITORING
0.09963648584347369,0.2401522179130295,0.6602112962434968,MONITORING
0.10235049763627237,0.8823553419934637,0.015294160370263932,MONITORING
0.3633688048249582,0.5285747462800254,0.10805644889501631,MONITORING
0.13252891296367753,0.8242065668416645,0.04326452019465801,HIGH_RISK
0.05046570749574249,0.7628976081659526,0.1866366843383048,MONITORING
0.11949747452311815,0.7775393611458861,0.10296316433099581,MONITORING
0.152682503549144,0.8191386670590497,0.02817882939180623,MONITORING
0.06364022568878178,0.9237001759259316,0.012659598385286651,MONITORING
0.1767116460492382,0.7866666185805887,0.03662173537017301,MONITORING
0.9601744331744192,0.03779573611835298,0.002029830707227779,HIGH_RISK
0.10745147866113933,0.889557961560727,0.002990559778133655,MONITORING
0.18941362093303338,0.7422928557851101,0.06829352328185653,MONITORING
0.02516000364355584,0.15539199829231135,0.8194479980641328,LOW_RISK
0.06364007416903503,0.9237004785852528,0.01265944724571214,MONITORING
0.9277428977913381,0.04881274007004527,0.023444362138616757,HIGH_RISK
0.011442218516155836,0.025902785703745698,0.9626549957800985,LOW_RISK
0.9601744930874476,0.03779568690606625,0.0020298200064861128,HIGH_RISK
0.11949747507907231,0.7775393500909508,0.10296317482997704,MONITORING
0.3815656611994051,0.33621166306298667,0.2822226757376082,MONITORING
0.9671579856249197,0.028698178141078,0.004143836234002121,HIGH_RISK
0.20956764470392883,0.652972744587156,0.13745961070891505,MONITORING
0.11949747576429288,0.7775393472931663,0.10296317694254067,MONITORING
0.15105862406160617,0.7984092105620948,0.05053216537629902,MONITORING
0.06476835753456392,0.9001001172408699,0.0351315252245661,MONITORING
0.06364029773274621,0.9237000500208277,0.012659652246425986,MONITORING
0.9267776660173284,0.05758342245575262,0.015638911526919055,HIGH_RISK
0.06754526703170337,0.21526981895451336,0.7171849140137834,LOW_RISK
0.25653412816394366,0.7290732193913697,0.014392652444686627,HIGH_RISK
0.011441598879724246,0.025901749119287894,0.9626566520009878,LOW_RISK
0.1510582221664097,0.7984104024242427,0.05053137540934758,MONITORING
0.15105681371906468,0.7984145771576022,0.05052860912333308,MONITORING
0.16450176824039306,0.7704756669919561,0.06502256476765075,MONITORING
0.9601744931434584,0.03779568685690574,0.002029819999635868,HIGH_RISK
0.15105662563249575,0.7984151337875494,0.05052824057995481,MONITORING
0.5263126341537475,0.47267968867428106,0.0010076771719714965,HIGH_RISK
0.15105756588866995,0.7984123472897421,0.050530086821587966,MONITORING
0.13451601010707118,0.4721995851535831,0.39328440473934567,MONITORING
0.03330670609409934,0.1291285399534395,0.8375647539524612,LOW_RISK
0.9601744657181909,0.03779570943264929,0.0020298248491599476,HIGH_RISK
0.15268250770175038,0.8191386590192825,0.028178833278967214,MONITORING
0.03330777375010478,0.12913437157979343,0.8375578546701018,LOW_RISK
0.8472909513641008,0.078255714299922,0.07445333433597712,HIGH_RISK
0.15268371215358295,0.8191362835462342,0.028180004300182877,MONITORING
0.0114419580959879,0.025902351427388285,0.9626556904766239,LOW_RISK
0.9601744931669106,0.03779568683098037,0.0020298200021089475,HIGH_RISK
0.5480602785446134,0.44331671472649126,0.00862300672889531,HIGH_RISK
0.9047207195127045,0.08814822605656443,0.007131054430731022,HIGH_RISK
0.17330186148875795,0.4275557031997953,0.39914243531144683,MONITORING
0.13252247392885003,0.8242108465493444,0.043266679521805594,HIGH_RISK
0.10235049004244962,0.8823553775404196,0.015294132417130783,MONITORING
0.02516000358566774,0.15539199807663914,0.8194479983376931,LOW_RISK
0.29777743596682277,0.6945474201325693,0.007675143900607953,MONITORING
0.9277428668534761,0.048812751315735085,0.02344438183078897,HIGH_RISK
0.10235049082462919,0.8823553773898344,0.015294131785536524,MONITORING
0.9601744928163725,0.037795687160146106,0.0020298200234814164,HIGH_RISK
0.09350451565417142,0.7097255182135659,0.19676996613226264,MONITORING
0.9213583436332665,0.04294836911882982,0.035693287247903646,HIGH_RISK
0.01144152444834558,0.025901623195831988,0.9626568523558224,LOW_RISK
0.7176321900263967,0.27810700221939355,0.004260807754209815,HIGH_RISK
0.9485713909871012,0.0507513573795271,0.0006772516333717666,HIGH_RISK
0.11949747474912815,0.7775393523352562,0.10296317291561574,MONITORING
0.21047643571876345,0.6441217502562536,0.14540181402498298,MONITORING
0.9454441842159689,0.0503963780893782,0.004159437694652842,HIGH_RISK
0.06476835866102619,0.9001001139179321,0.035131527421041635,MONITORING
0.5263131051866542,0.4726792107551513,0.0010076840581944929,HIGH_RISK
0.1850827954125774,0.6579955726616356,0.156921631925787,MONITORING
0.9277428972858699,0.04881274038537254,0.023444362328757462,HIGH_RISK
0.27421862396469626,0.06798037524000551,0.6578010007952982,HIGH_RISK
0.9194166864734826,0.06551743223607293,0.015065881290444436,HIGH_RISK
0.11949747191017361,0.7775393695511924,0.10296315853863403,MONITORING
0.0636402222367929,0.9237001953148902,0.012659582448316907,MONITORING
0.2464756295337891,0.49922751055028997,0.25429685991592094,MONITORING
0.011442016823732387,0.02590244966190006,0.9626555335143675,LOW_RISK
0.25653411742438187,0.7290732553916918,0.014392627183926301,HIGH_RISK
0.550473951390284,0.4348802551546491,0.014645793455066898,HIGH_RISK
0.17671165380176718,0.7866664220153858,0.036621924182847064,MONITORING
0.06834764195357163,0.9053075041683628,0.026344853878065476,MONITORING
0.9601744912693845,0.03779568860953934,0.0020298201210760857,HIGH_RISK
0.6846823696936306,0.03855017469630308,0.2767674556100664,HIGH_RISK
0.9485713909871012,0.0507513573795271,0.0006772516333717666,HIGH_RISK
0.1767116671825957,0.7866660651324551,0.03662226768494912,MONITORING
0.06476835804498805,0.9001001159342165,0.035131526020795466,MONITORING
0.26251938406876196,0.6235339132270553,0.11394670270418272,MONITORING
0.11949747592926498,0.7775393461710137,0.10296317789972133,MONITORING
0.06364015616952584,0.923700320775344,0.012659523055130073,MONITORING
0.011442776042591236,0.02590371762787141,0.9626535063295374,LOW_RISK
0.8984505866655369,0.04591790368147585,0.055631509652987104,HIGH_RISK
0.33964006556016296,0.3077462137239762,0.35261372071586083,MONITORING
0.8446664633663288,0.045824786138094195,0.10950875049557711,HIGH_RISK
0.1767116713013647,0.7866659924194135,0.036622336279221894,MONITORING
0.21642329305555327,0.6206065088856118,0.16297019805883492,MONITORING
